ms_drg,pa_drg,nprm_drg,mdc,type,msdrg_title,weights,los_geo,los_mean
205,Yes,No,04,MED,OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC,1.8103,1.8103,4.5
206,Yes,No,04,MED,OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC,0.9135,0.9135,2.5
207,Yes,No,04,MED,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS,6.9080,6.9080,14.8
208,No,No,04,MED,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,2.7038,2.7038,5.2
212,No,No,05,SURG,CONCOMITANT AORTIC AND MITRAL VALVE PROCEDURES,10.7707,10.7707,12.6
215,No,No,05,SURG,OTHER HEART ASSIST SYSTEM IMPLANT,10.2148,10.2148,5.0
216,Yes,Yes,05,SURG,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH MCC,9.7053,9.7053,11.2
217,Yes,Yes,05,SURG,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH CC,6.3653,6.3653,5.2
218,Yes,Yes,05,SURG,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITHOUT CC/MCC,5.6967,5.6967,2.2
219,Yes,Yes,05,SURG,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC,7.7112,7.7112,8.7
220,Yes,Yes,05,SURG,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH CC,5.2446,5.2446,5.7
221,Yes,Yes,05,SURG,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITHOUT CC/MCC,4.6486,4.6486,3.3
228,No,No,05,SURG,OTHER CARDIOTHORACIC PROCEDURES WITH MCC,5.0387,5.0387,6.5
229,No,No,05,SURG,OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC,3.1796,3.1796,2.6
231,No,No,05,SURG,CORONARY BYPASS WITH PTCA WITH MCC,8.1152,8.1152,10.3
232,No,No,05,SURG,CORONARY BYPASS WITH PTCA WITHOUT MCC,5.9486,5.9486,7.5
233,Yes,No,05,SURG,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC,7.7996,7.7996,11.4
234,Yes,No,05,SURG,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITHOUT MCC,5.1979,5.1979,8.1
235,Yes,No,05,SURG,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC,5.8806,5.8806,8.2
236,Yes,No,05,SURG,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,4.0412,4.0412,5.8
239,Yes,No,05,SURG,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC,4.8068,4.8068,11.1
240,Yes,No,05,SURG,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH CC,2.8092,2.8092,7.1
241,Yes,No,05,SURG,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITHOUT CC/MCC,1.3898,1.3940,4.2
242,Yes,No,05,SURG,PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,3.4551,3.4551,5.1
243,Yes,No,05,SURG,PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,2.2776,2.2776,2.9
244,Yes,No,05,SURG,PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC,1.8295,1.8295,2.1
245,No,No,05,SURG,AICD GENERATOR PROCEDURES,4.5314,4.5314,4.1
250,No,No,05,SURG,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT INTRALUMINAL DEVICE WITH MCC,2.3508,2.3508,3.4
251,No,No,05,SURG,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT INTRALUMINAL DEVICE WITHOUT MCC,1.5869,1.5869,2.0
252,No,No,05,SURG,OTHER VASCULAR PROCEDURES WITH MCC,3.3538,3.3538,5.4
253,No,No,05,SURG,OTHER VASCULAR PROCEDURES WITH CC,2.5511,2.5511,3.8
254,No,No,05,SURG,OTHER VASCULAR PROCEDURES WITHOUT CC/MCC,1.7351,1.7351,1.9
255,Yes,No,05,SURG,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH MCC,2.7474,2.7474,7.0
256,Yes,No,05,SURG,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH CC,1.6397,1.6397,5.0
257,Yes,No,05,SURG,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITHOUT CC/MCC,0.9910,0.9910,3.4
258,No,No,05,SURG,CARDIAC PACEMAKER DEVICE REPLACEMENT WITH MCC,2.7086,2.7086,4.7
259,No,No,05,SURG,CARDIAC PACEMAKER DEVICE REPLACEMENT WITHOUT MCC,1.8666,1.8666,2.4
260,No,No,05,SURG,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH MCC,3.3152,3.3152,5.7
261,No,No,05,SURG,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH CC,1.8818,1.8818,2.9
262,No,No,05,SURG,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITHOUT CC/MCC,1.6453,1.6453,2.3
263,No,No,05,SURG,VEIN LIGATION AND STRIPPING,2.8252,2.8252,4.6
264,Yes,No,05,SURG,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,3.2660,3.2660,6.9
265,No,No,05,SURG,AICD LEAD PROCEDURES,3.5341,3.5341,4.0
266,Yes,Yes,05,SURG,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITH MCC,6.2461,6.2461,2.7
267,Yes,Yes,05,SURG,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC,4.8802,4.8802,1.3
268,No,No,05,SURG,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITH MCC,6.8547,6.8547,6.1
269,No,No,05,SURG,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITHOUT MCC,4.1586,4.1586,1.5
270,No,No,05,SURG,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC,5.0569,5.0569,6.5
271,No,No,05,SURG,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH CC,3.4562,3.4562,4.0
272,No,No,05,SURG,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITHOUT CC/MCC,2.4395,2.4395,1.9
273,No,No,05,SURG,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITH MCC,3.8970,3.8970,3.6
274,No,No,05,SURG,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITHOUT MCC,3.2408,3.2408,1.2
275,No,No,05,SURG,CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION AND MCC,7.0358,7.0358,8.0
276,Yes,Yes,05,SURG,CARDIAC DEFIBRILLATOR IMPLANT WITH MCC,6.2102,6.2102,6.3
277,Yes,Yes,05,SURG,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT MCC,4.7824,4.7824,3.3
278,No,No,05,SURG,ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS OF PERIPHERAL VASCULAR STRUCTURES WITH MCC,4.4604,4.4604,6.3
279,No,No,05,SURG,ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS OF PERIPHERAL VASCULAR STRUCTURES WITHOUT MCC,3.2006,3.2006,3.1
280,Yes,No,05,MED,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",1.5865,1.5865,4.2
281,Yes,No,05,MED,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",0.9130,0.9130,2.4
282,Yes,No,05,MED,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC",0.7181,0.7181,1.8
283,No,No,05,MED,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",1.9714,1.9714,3.2
284,No,No,05,MED,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH CC",0.7397,0.7397,1.7
285,No,No,05,MED,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITHOUT CC/MCC",0.4887,0.4887,1.2
286,No,No,05,MED,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITH MCC",2.1556,2.1556,5.4
287,No,No,05,MED,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITHOUT MCC",1.0816,1.0816,2.2
288,Yes,No,05,MED,ACUTE AND SUBACUTE ENDOCARDITIS WITH MCC,2.5930,2.5930,7.7
289,Yes,No,05,MED,ACUTE AND SUBACUTE ENDOCARDITIS WITH CC,1.4777,1.4777,5.1
290,Yes,No,05,MED,ACUTE AND SUBACUTE ENDOCARDITIS WITHOUT CC/MCC,1.0252,1.0851,3.4
291,Yes,No,05,MED,HEART FAILURE AND SHOCK WITH MCC,1.2839,1.2839,3.9
292,Yes,No,05,MED,HEART FAILURE AND SHOCK WITH CC,0.8565,0.8565,3.0
293,Yes,No,05,MED,HEART FAILURE AND SHOCK WITHOUT CC/MCC,0.5615,0.5615,2.1
294,No,No,05,MED,DEEP VEIN THROMBOPHLEBITIS WITH CC/MCC,1.0937,1.0937,3.5
295,No,No,05,MED,DEEP VEIN THROMBOPHLEBITIS WITHOUT CC/MCC,0.6315,0.7971,2.4
296,No,No,05,MED,"CARDIAC ARREST, UNEXPLAINED WITH MCC",1.6032,1.6032,2.0
297,No,No,05,MED,"CARDIAC ARREST, UNEXPLAINED WITH CC",0.7286,0.7286,1.3
298,No,No,05,MED,"CARDIAC ARREST, UNEXPLAINED WITHOUT CC/MCC",0.4389,0.4397,1.1
299,Yes,No,05,MED,PERIPHERAL VASCULAR DISORDERS WITH MCC,1.5762,1.5762,4.0
300,Yes,No,05,MED,PERIPHERAL VASCULAR DISORDERS WITH CC,1.0670,1.0670,3.1
301,Yes,No,05,MED,PERIPHERAL VASCULAR DISORDERS WITHOUT CC/MCC,0.7098,0.7098,2.1
302,No,No,05,MED,ATHEROSCLEROSIS WITH MCC,1.1211,1.1211,2.8
303,No,No,05,MED,ATHEROSCLEROSIS WITHOUT MCC,0.6581,0.6581,1.8
304,No,No,05,MED,HYPERTENSION WITH MCC,1.1490,1.1490,3.0
305,No,No,05,MED,HYPERTENSION WITHOUT MCC,0.7535,0.7535,2.1
306,No,No,05,MED,CARDIAC CONGENITAL AND VALVULAR DISORDERS WITH MCC,1.5368,1.5368,3.8
307,No,No,05,MED,CARDIAC CONGENITAL AND VALVULAR DISORDERS WITHOUT MCC,0.9426,0.9426,2.2
308,No,No,05,MED,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC,1.2022,1.2022,3.5
309,No,No,05,MED,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC,0.7447,0.7447,2.3
310,No,No,05,MED,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT CC/MCC,0.5530,0.5530,1.8
311,No,No,05,MED,ANGINA PECTORIS,0.6981,0.6981,2.0
312,No,No,05,MED,SYNCOPE AND COLLAPSE,0.8635,0.8635,2.4
313,No,No,05,MED,CHEST PAIN,0.7236,0.7236,1.7
314,Yes,No,05,MED,OTHER CIRCULATORY SYSTEM DIAGNOSES WITH MCC,2.0935,2.0935,5.1
315,Yes,No,05,MED,OTHER CIRCULATORY SYSTEM DIAGNOSES WITH CC,0.9673,0.9673,2.7
316,Yes,No,05,MED,OTHER CIRCULATORY SYSTEM DIAGNOSES WITHOUT CC/MCC,0.6927,0.6927,1.8
319,No,No,05,SURG,OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITH MCC,4.3619,4.3619,7.8
320,No,No,05,SURG,OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITHOUT MCC,2.2260,2.2260,2.2
321,No,No,05,SURG,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH INTRALUMINAL DEVICE WITH MCC OR 4+ ARTERIES/INTRALUMINAL DEVICES,2.8747,2.8747,3.8
322,No,No,05,SURG,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH INTRALUMINAL DEVICE WITHOUT MCC,1.8234,1.8234,2.0
323,No,No,05,SURG,CORONARY INTRAVASCULAR LITHOTRIPSY WITH INTRALUMINAL DEVICE WITH MCC,4.1400,4.1400,4.6
324,No,No,05,SURG,CORONARY INTRAVASCULAR LITHOTRIPSY WITH INTRALUMINAL DEVICE WITHOUT MCC,2.9686,2.9686,2.3
325,No,No,05,SURG,CORONARY INTRAVASCULAR LITHOTRIPSY WITHOUT INTRALUMINAL DEVICE,2.6443,2.6443,2.6
326,Yes,No,06,SURG,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH MCC",5.0790,5.0790,9.4
327,Yes,No,06,SURG,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH CC",2.4974,2.4974,4.3
328,Yes,No,06,SURG,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITHOUT CC/MCC",1.5973,1.5973,2.1
329,Yes,No,06,SURG,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC,4.5168,4.5168,9.8
330,Yes,No,06,SURG,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,2.3721,2.3721,5.1
331,Yes,No,06,SURG,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC,1.6720,1.6720,2.9
332,Yes,No,06,SURG,RECTAL RESECTION WITH MCC,3.6276,3.6543,6.7
333,Yes,No,06,SURG,RECTAL RESECTION WITH CC,2.0795,2.0795,3.4
334,Yes,No,06,SURG,RECTAL RESECTION WITHOUT CC/MCC,1.6051,1.6051,2.3
335,Yes,No,06,SURG,PERITONEAL ADHESIOLYSIS WITH MCC,3.5750,3.5750,8.9
